,from_warehouse,fill_rate
171,Montauban,0.43745107692307694
172,Clermont-Ferrand,0.14967138461538462
173,Cergy,0.9809107692307693
174,Cergy,0.9154953846153846
175,Cergy,0.7235101538461539
176,Cergy,0.6715569230769229
177,Cergy,0.8876689230769231
178,Cergy,0.9822473846153847
179,Cergy,0.6528947692307692
180,Cergy,0.47011938461538466
181,Cergy,0.9682276923076922
182,Cergy,0.8616787692307691
183,Cergy,0.9997883076923076
184,Cergy,0.7141341538461539
185,Cergy,0.7309033846153847
186,Cergy,0.31430769230769234
187,Cergy,0.8793206153846154
188,Cergy,0.9304615384615383
189,Cergy,0.7677981538461539
190,Cergy,0.8418953846153846
191,Cergy,0.3135212307692308
192,Reims,0.36386215384615384
193,Reims,0.736832
194,Reims,0.9932775384615384
195,Reims,0.9290744615384616
