,fill_rate,from_warehouse,kind
201,0.2672492307692307,Rennes,Scenario 3
202,0.8168356923076924,Rennes,Scenario 3
203,0.8606461538461538,Rennes,Scenario 3
204,0.9580676923076924,Avignon,Scenario 3
205,0.8495803076923077,Avignon,Scenario 3
206,0.9597796923076923,Avignon,Scenario 3
207,0.05480861538461537,Avignon,Scenario 3
208,0.801220923076923,Avignon,Scenario 3
209,0.9951446153846155,Avignon,Scenario 3
210,0.868192,Cergy,Scenario 3
211,0.6241316923076924,Cergy,Scenario 3
212,0.5923052307692309,Cergy,Scenario 3
213,0.9358104615384615,Cergy,Scenario 3
214,0.9002793846153846,Cergy,Scenario 3
215,0.9900935384615385,Cergy,Scenario 3
216,0.8460516923076924,Cergy,Scenario 3
217,0.8816270769230768,Cergy,Scenario 3
218,0.8347458461538461,Cergy,Scenario 3
219,0.9161710769230768,Cergy,Scenario 3
220,0.5747889230769231,Cergy,Scenario 3
221,0.6665132307692309,Montauban,Scenario 3
222,0.49090461538461544,Montauban,Scenario 3
223,0.9818560000000001,Montauban,Scenario 3
224,0.9949366153846154,Montauban,Scenario 3
225,0.8963076923076924,Épinal,Scenario 3
226,0.936515692307692,Épinal,Scenario 3
227,0.9984566153846153,Rennes,Scenario 3
228,0.13502153846153844,Rennes,Scenario 3
229,0.023926153846153847,Rennes,Scenario 3
230,0.9698436923076924,Rennes,Scenario 3
231,0.6196873846153848,Avignon,Scenario 3
232,0.8674535384615386,Avignon,Scenario 3
233,0.8662178461538462,Avignon,Scenario 3
234,0.7443692307692308,Avignon,Scenario 3
235,0.8167286153846154,Avignon,Scenario 3
236,0.9418264615384615,Cergy,Scenario 3
237,0.8961673846153847,Cergy,Scenario 3
238,0.9613403076923076,Cergy,Scenario 3
239,0.9708123076923078,Cergy,Scenario 3
240,0.808608,Cergy,Scenario 3
241,0.9980541538461539,Cergy,Scenario 3
242,0.9361698461538464,Cergy,Scenario 3
243,0.8384640000000001,Cergy,Scenario 3
244,0.8919384615384616,Cergy,Scenario 3
245,0.9032000000000001,Cergy,Scenario 3
246,0.8075790769230771,Cergy,Scenario 3
247,0.7395372307692308,Cergy,Scenario 3
248,0.7778215384615385,Cergy,Scenario 3
249,0.9387323076923075,Cergy,Scenario 3
250,0.8581046153846155,Cergy,Scenario 3
251,0.8779643076923076,Cergy,Scenario 3
252,0.7073083076923077,Cergy,Scenario 3
253,0.907716923076923,Cergy,Scenario 3
254,0.8384640000000001,Montauban,Scenario 3
255,0.36569476923076927,Montauban,Scenario 3
256,0.9080061538461539,Montauban,Scenario 3
257,0.8891076923076923,Épinal,Scenario 3
258,0.6125378461538462,Épinal,Scenario 3
259,0.18266092307692308,Épinal,Scenario 3
260,0.9525513846153845,Épinal,Scenario 3
261,0.7482978461538461,Rennes,Scenario 3
262,0.8549636923076923,Rennes,Scenario 3
263,0.19055384615384616,Rennes,Scenario 3
264,0.7066264615384615,Rennes,Scenario 3
265,0.9292455384615382,Rennes,Scenario 3
266,0.9825341538461536,Avignon,Scenario 3
267,0.9570055384615384,Avignon,Scenario 3
268,0.6896504615384615,Avignon,Scenario 3
269,0.7350843076923078,Avignon,Scenario 3
270,0.6789784615384615,Cergy,Scenario 3
271,0.9619064615384614,Cergy,Scenario 3
272,0.9574658461538463,Cergy,Scenario 3
273,0.9660553846153846,Cergy,Scenario 3
274,0.8817673846153847,Cergy,Scenario 3
275,0.9721009230769231,Cergy,Scenario 3
276,0.9517883076923076,Cergy,Scenario 3
277,0.8692738461538461,Cergy,Scenario 3
278,0.9999901538461539,Cergy,Scenario 3
279,0.9157046153846156,Montauban,Scenario 3
280,0.9533144615384613,Montauban,Scenario 3
281,0.9490350769230769,Montauban,Scenario 3
282,0.76224,Épinal,Scenario 3
283,0.9654400000000001,Épinal,Scenario 3
284,0.8883876923076923,Épinal,Scenario 3
285,0.8215790769230769,Rennes,Scenario 3
286,0.6462129230769231,Rennes,Scenario 3
287,0.862038153846154,Rennes,Scenario 3
288,0.8304898461538464,Avignon,Scenario 3
289,0.9599766153846154,Avignon,Scenario 3
290,0.5337169230769231,Avignon,Scenario 3
291,0.6666080000000001,Avignon,Scenario 3
292,0.6585563076923078,Avignon,Scenario 3
293,0.9419126153846153,Cergy,Scenario 3
294,0.5255335384615384,Cergy,Scenario 3
295,0.9546006153846154,Cergy,Scenario 3
296,0.930747076923077,Cergy,Scenario 3
297,0.5206203076923077,Cergy,Scenario 3
298,0.9915975384615383,Cergy,Scenario 3
299,0.9634067692307693,Cergy,Scenario 3
300,0.8642350769230769,Cergy,Scenario 3
301,0.9467298461538463,Cergy,Scenario 3
302,0.8781390769230769,Cergy,Scenario 3
303,0.8732824615384616,Cergy,Scenario 3
304,0.8551975384615386,Cergy,Scenario 3
305,0.9543532307692308,Cergy,Scenario 3
306,0.9638916923076922,Cergy,Scenario 3
307,0.918089846153846,Cergy,Scenario 3
308,0.9924652307692308,Cergy,Scenario 3
309,0.9999938461538461,Cergy,Scenario 3
310,0.8017476923076923,Montauban,Scenario 3
311,0.47831384615384615,Montauban,Scenario 3
312,0.9864430769230768,Montauban,Scenario 3
313,0.19159630769230768,Épinal,Scenario 3
314,0.8957070769230769,Épinal,Scenario 3
315,0.9634006153846154,Épinal,Scenario 3
316,0.8520836923076922,Rennes,Scenario 3
317,0.5398387692307692,Rennes,Scenario 3
318,0.9804504615384615,Rennes,Scenario 3
319,0.5572886153846153,Rennes,Scenario 3
320,0.9490166153846155,Avignon,Scenario 3
321,0.8684898461538461,Avignon,Scenario 3
322,0.5735384615384616,Avignon,Scenario 3
323,0.8717870769230768,Avignon,Scenario 3
324,0.7836036923076923,Avignon,Scenario 3
325,0.7992221538461539,Avignon,Scenario 3
326,0.45950276923076927,Avignon,Scenario 3
327,0.9038227692307692,Avignon,Scenario 3
328,0.5083963076923077,Cergy,Scenario 3
329,0.7822719999999999,Cergy,Scenario 3
330,0.9167113846153846,Cergy,Scenario 3
331,0.947140923076923,Cergy,Scenario 3
332,0.973888,Cergy,Scenario 3
333,0.9995409230769231,Cergy,Scenario 3
334,0.9781723076923079,Cergy,Scenario 3
335,0.7877858461538461,Cergy,Scenario 3
336,0.7655089230769231,Cergy,Scenario 3
337,0.9469316923076923,Cergy,Scenario 3
338,0.4045895384615385,Montauban,Scenario 3
339,0.9252578461538461,Montauban,Scenario 3
340,0.9095778461538463,Épinal,Scenario 3
341,0.8757833846153847,Épinal,Scenario 3
342,0.9434018461538463,Rennes,Scenario 3
343,0.8869403076923076,Rennes,Scenario 3
344,0.6617870769230769,Rennes,Scenario 3
345,0.8032566153846155,Rennes,Scenario 3
346,0.9101883076923076,Avignon,Scenario 3
347,0.9223852307692307,Avignon,Scenario 3
348,0.47325292307692307,Avignon,Scenario 3
349,0.9893809230769232,Avignon,Scenario 3
350,0.9388627692307691,Avignon,Scenario 3
351,0.9697378461538462,Avignon,Scenario 3
352,0.7274781538461539,Cergy,Scenario 3
353,0.9781932307692308,Cergy,Scenario 3
354,0.5671507692307692,Cergy,Scenario 3
355,0.9681341538461539,Cergy,Scenario 3
356,0.9095113846153845,Cergy,Scenario 3
357,0.9521895384615384,Cergy,Scenario 3
358,0.9950043076923079,Cergy,Scenario 3
359,0.9855963076923078,Cergy,Scenario 3
360,0.9475027692307693,Cergy,Scenario 3
361,0.9394313846153847,Cergy,Scenario 3
362,0.8399766153846153,Montauban,Scenario 3
363,0.8799039999999999,Montauban,Scenario 3
364,0.557371076923077,Montauban,Scenario 3
365,0.8341046153846154,Montauban,Scenario 3
366,0.8948886153846154,Montauban,Scenario 3
367,0.8075298461538462,Montauban,Scenario 3
368,0.49335138461538464,Épinal,Scenario 3
369,0.8419372307692307,Épinal,Scenario 3
370,0.9957760000000002,Épinal,Scenario 3
371,0.7354535384615385,Rennes,Scenario 3
372,0.8741021538461538,Rennes,Scenario 3
373,0.9330498461538461,Rennes,Scenario 3
374,0.964006153846154,Avignon,Scenario 3
375,0.9712406153846153,Avignon,Scenario 3
376,0.9203372307692308,Avignon,Scenario 3
377,0.9867273846153845,Avignon,Scenario 3
378,0.9929366153846154,Avignon,Scenario 3
379,0.9632861538461538,Avignon,Scenario 3
380,0.9926449230769231,Cergy,Scenario 3
381,0.990352,Cergy,Scenario 3
382,0.9547593846153847,Cergy,Scenario 3
383,0.9552676923076922,Cergy,Scenario 3
384,0.6649353846153847,Cergy,Scenario 3
385,0.8861292307692308,Cergy,Scenario 3
386,0.7374153846153846,Cergy,Scenario 3
387,0.9105181538461539,Cergy,Scenario 3
388,0.9174350769230769,Cergy,Scenario 3
389,0.8446744615384614,Cergy,Scenario 3
390,0.9987901538461539,Cergy,Scenario 3
391,0.9812676923076923,Cergy,Scenario 3
392,0.9585870769230769,Cergy,Scenario 3
393,0.9992455384615384,Cergy,Scenario 3
394,0.914688,Montauban,Scenario 3
395,0.007620923076923076,Montauban,Scenario 3
396,0.9927286153846153,Montauban,Scenario 3
397,0.5311150769230769,Montauban,Scenario 3
398,0.9951556923076922,Montauban,Scenario 3
399,0.8996184615384615,Épinal,Scenario 3
400,0.6124455384615385,Épinal,Scenario 3
401,0.940096,Épinal,Scenario 3
402,0.752788923076923,Épinal,Scenario 3
403,0.6895593846153846,Rennes,Scenario 3
404,0.5966953846153846,Rennes,Scenario 3
405,0.934923076923077,Rennes,Scenario 3
406,0.6628726153846154,Avignon,Scenario 3
407,0.7221316923076924,Avignon,Scenario 3
408,0.9960984615384615,Cergy,Scenario 3
